Index,Review,Sentence,Fit,Size,Material,Comfortability,Quality,Price,Color,General
0,My son loved his sweater but it was a bit too fitted for his liking.. Looks very nice and he definitely wears it. I would suggest ordering a size up!,My son loved his sweater but it was a bit too fitted for his liking.. Looks very nice and he definitely wears it.,1,0,0,0,0,0,0,0
1,,I would suggest ordering a size up ,0,1,0,0,0,0,0,0
2,Cannot go wrong with Nike products for the most part. Fit and finish is excellent. Also surprised how water resistant the pullover is. Spilled water on myself yesterday and literally bounced off me,Cannot go wrong with Nike products for the most part.,0,0,0,0,0,0,0,1
3,,Fit and finish is excellent.,1,0,0,0,0,0,0,0
4,,Also surprised how water resistant the pullover is.,0,0,0,0,1,0,0,0
5,,Spilled water on myself yesterday and literally bounced off me,0,0,0,0,1,0,0,0
6,This is not Nike quality its fake !,This is not Nike quality its fake  ,0,0,0,0,1,0,0,0
7,"very comfortable, fits well, came on time. loving it so far","very comfortable, fits well, came on time.",1,0,0,1,0,0,0,0
8,,loving it so far,0,0,0,0,0,0,0,1
9,My boys have a few pair of these and love them. Very comfortable and wash up nicely. Fit is spot on.,My boys have a few pair of these and love them.,0,0,0,0,0,0,0,1
10,,Very comfortable and wash up nicely.,0,0,0,1,0,0,0,0
11,,Fit is spot on.,1,0,0,0,0,0,0,0
12,"Fit great. Nice quality ,,, Fit great. Love them. Bought 3 pair",Fit great.,1,0,0,0,0,0,0,0
13,,"Nice quality ,,, Fit great.",1,0,0,0,1,0,0,0
14,,Love them.,0,0,0,0,0,0,0,1
15,,Bought 3 pair,0,0,0,0,0,0,0,1
16,"Great shorts and exactly as described. Really good quality, not thin at all.",Great shorts and exactly as described.,0,0,0,0,0,0,0,1
17,,"Really good quality, not thin at all.",0,0,1,0,1,0,0,0
18,Fits as expected! In my opinion great material and at the length I was looking for!,Fits as expected ,1,0,0,0,0,0,0,0
19,,In my opinion great material and at the length I was looking for ,0,1,1,0,0,0,0,0
20,exactly as described.,exactly as described.,0,0,0,0,0,0,0,1
21,"I love 90 degree leggings. Theyre breathable but not see through (watch what color you get though, seems like the lighter colors arent as safe). They are very comfortable and stay in place, I wear them running, to hot yoga, Pilates, etc. all without any problems and no need to constantly readjust. They do run a bit large but its not a huge amount. I would go with your regular size unless you prefer your leggings tighter or are between sizes. Im a size 8 or 10 and the Mediums are great. Also, these are definitely a high rise but personally I like that (no muffin top and no tummy showing during yoga). Im ordering more in different colors.",I love 90 degree leggings.,0,0,0,0,0,0,0,1
22,,"Theyre breathable but not see through  watch what color you get though, seems like the lighter colors arent as safe .",0,0,1,0,0,0,1,0
23,,"They are very comfortable and stay in place, I wear them running, to hot yoga, Pilates, etc.",0,0,0,1,0,0,0,0
24,,all without any problems and no need to constantly readjust.,0,0,0,0,0,0,0,1
25,,They do run a bit large but its not a huge amount.,0,1,0,0,0,1,0,0
26,,I would go with your regular size unless you prefer your leggings tighter or are between sizes.,0,1,0,0,0,0,0,0
27,,Im a size 8 or 10 and the Mediums are great.,0,1,0,0,0,0,0,0
28,,"Also, these are definitely a high rise but personally I like that  no muffin top and no tummy showing during yoga .",0,0,0,0,0,0,0,1
29,,Im ordering more in different colors.,0,0,0,0,0,0,1,0
30,I run short distances like 5k ect and these have always been my favorite. Might be a little long for most runners but these arent made specifically for running.,I run short distances like 5k ect and these have always been my favorite.,0,0,0,0,0,0,0,1
31,,Might be a little long for most runners but these arent made specifically for running.,0,0,0,0,0,0,0,1
